,income
7916,1
26447,1
20889,0
30145,1
7473,1
29361,1
12277,1
44372,1
32291,1
44411,0
20104,1
21055,1
36414,0
28292,1
15943,1
2083,1
21481,0
18948,0
39915,1
23558,1
37031,1
29360,1
12659,0
21298,1
38855,0
1914,1
19983,1
25554,0
34009,0
2597,0
723,0
22537,0
5021,1
33205,1
4643,1
2396,0
48300,1
38374,1
39995,1
40214,1
10476,0
2122,1
39029,0
45913,1
46707,0
32359,1
34211,1
29559,1
35607,1
30905,1
48245,1
13093,0
8930,1
31909,1
19753,0
45332,1
41216,1
6541,1
11684,1
23948,1
42790,1
33319,1
28443,1
47391,0
24783,1
9712,1
27,0
7865,1
45558,1
46092,1
31112,1
12815,1
30215,0
6887,1
9613,0
13925,1
2738,0
19520,1
15042,1
7573,1
12915,1
195,1
5150,0
18911,1
4741,1
13518,1
17488,1
41691,1
45295,0
38508,1
6969,1
23245,1
32220,1
24563,1
30514,1
5016,1
9483,1
20378,1
3799,1
38200,1
3939,1
40679,0
5508,1
24951,1
578,1
19885,1
38012,1
17239,1
29827,1
47561,0
28336,1
36576,0
24223,0
6939,1
23836,1
41365,1
23780,1
2971,0
880,1
34586,1
22559,1
16142,1
5027,0
10900,1
12774,1
18797,0
25527,0
47128,1
26395,1
15568,1
26664,1
30212,0
39704,1
26048,1
45170,1
40877,0
23868,1
36946,0
14646,1
37908,1
35186,0
14850,1
31007,1
19018,1
12590,1
31582,1
7967,1
16520,1
25165,1
3621,1
13005,0
31177,1
8057,1
34923,1
47299,1
33340,1
15528,0
2001,1
23269,1
24203,0
2009,1
23049,1
45577,1
4809,1
19432,1
19909,1
44582,1
11384,0
43704,0
29735,1
27934,1
17744,0
1833,1
16137,1
39824,1
8852,1
24312,1
47914,1
40483,1
133,1
14665,0
17142,1
15116,1
666,1
38733,1
40799,1
34002,1
45833,0
37347,1
39019,1
35626,1
34848,1
35324,1
31673,0
30657,0
3038,1
23907,1
36193,1
14342,0
539,1
2910,1
41861,1
13447,1
24512,1
40985,0
9908,0
7093,0
44533,1
43694,0
28726,1
34948,1
35691,1
35116,1
19144,1
41341,0
32608,1
24500,1
40261,1
29551,1
27028,0
28468,1
16477,1
8797,1
14800,1
22051,1
39584,0
18578,1
26477,0
34413,1
16796,0
6099,1
11012,1
32434,1
44172,1
22783,1
42905,1
41258,1
45270,1
6138,1
4668,1
27252,1
32845,1
33308,0
9718,0
17756,0
25031,1
40404,1
14091,1
44217,1
27947,1
34439,1
20224,0
40896,1
27282,0
11374,1
39471,0
25384,1
32554,0
22926,1
42883,1
47348,1
36675,1
4901,1
15676,1
6653,1
36687,1
34857,1
36056,0
16439,1
17269,1
17968,0
3064,0
30674,1
29256,1
35897,1
40779,1
21169,1
38284,1
22053,1
40548,1
22505,0
38258,1
48625,1
8799,1
16389,1
28092,1
39391,1
23295,0
32964,1
1689,0
18800,1
11676,1
32699,1
23894,0
28090,1
